EventID, TypeID, Severity, Date, Source, Description
44,4,CRITICAL,2014-03-13 09:14:36,"[10.1.1.1]User-PC/LiebertPSA","UPS Communication Loss"
46,2,NORMAL,2014-03-13 09:16:51,"[10.1.1.1]User-PC/LiebertPSA","UPS Communication Established"
48,3,IMPAIRED,2014-03-13 09:17:00,"[10.1.1.1]User-PC/","UPS Monitor Software Stopped"
49,1,NORMAL,2014-03-13 09:18:33,"[10.1.1.1]User-PC/","UPS Monitor Software Started"
51,5,IMPAIRED,2014-03-13 09:32:52,"[10.1.1.1]User-PC/LiebertPSA","UPS Operating On Battery"
51,5,IMPAIRED,2014-03-13 09:32:52,"[10.1.1.1]User-PC/LiebertPSA","UPS Operating On Battery: shutdown sequence initiated"
69,34,CRITICAL,2014-03-13 09:37:52,"[10.1.1.1]User-PC/","System Shutdown Commencing"
70,3,IMPAIRED,2014-03-13 09:37:52,"[10.1.1.1]User-PC/","UPS Monitor Software Stopped"
71,3,IMPAIRED,2014-03-13 09:38:18,"[10.1.1.1]User-PC/","UPS Monitor Software Stopped"
72,1,NORMAL,2014-03-13 10:23:56,"[10.1.1.1]User-PC/","UPS Monitor Software Started"
75,4,CRITICAL,2014-03-13 10:31:58,"[10.1.1.1]User-PC/LiebertPSA","UPS Communication Loss"
77,2,NORMAL,2014-03-13 10:53:38,"[10.1.1.1]User-PC/LiebertPSA","UPS Communication Established"
91,5,IMPAIRED,2014-03-13 15:56:57,"[10.1.1.1]User-PC/LiebertPSA","UPS Operating On Battery"
91,5,IMPAIRED,2014-03-13 15:56:57,"[10.1.1.1]User-PC/LiebertPSA","UPS Operating On Battery: shutdown sequence initiated"
99,34,CRITICAL,2014-03-13 16:01:58,"[10.1.1.1]User-PC/","System Shutdown Commencing"
100,3,IMPAIRED,2014-03-13 16:01:58,"[10.1.1.1]User-PC/","UPS Monitor Software Stopped"
102,3,IMPAIRED,2014-03-13 16:02:24,"[10.1.1.1]User-PC/","UPS Monitor Software Stopped"
103,1,NORMAL,2014-03-13 16:04:21,"[10.1.1.1]User-PC/","UPS Monitor Software Started"
106,5,IMPAIRED,2014-03-13 16:04:34,"[10.1.1.1]User-PC/LiebertPSA","UPS Operating On Battery"
106,5,IMPAIRED,2014-03-13 16:04:34,"[10.1.1.1]User-PC/LiebertPSA","UPS Operating On Battery: shutdown sequence initiated"
109,34,CRITICAL,2014-03-13 16:09:34,"[10.1.1.1]User-PC/","System Shutdown Commencing"
110,3,IMPAIRED,2014-03-13 16:09:34,"[10.1.1.1]User-PC/","UPS Monitor Software Stopped"
111,3,IMPAIRED,2014-03-13 16:10:01,"[10.1.1.1]User-PC/","UPS Monitor Software Stopped"
112,1,NORMAL,2014-03-13 16:11:52,"[10.1.1.1]User-PC/","UPS Monitor Software Started"
116,5,IMPAIRED,2014-03-13 16:13:16,"[10.1.1.1]User-PC/LiebertPSA","UPS Operating On Battery"
133,13,CRITICAL,2014-03-13 16:39:19,"[10.1.1.1]User-PC/LiebertPSA","Low Battery"
138,12,IMPAIRED,2014-03-13 16:41:38,"[10.1.1.1]User-PC/LiebertPSA","Battery Capacity 20% or less"
139,1,NORMAL,2014-03-13 16:48:00,"[10.1.1.1]User-PC/","UPS Monitor Software Started"
143,5,IMPAIRED,2014-03-13 16:48:51,"[10.1.1.1]User-PC/LiebertPSA","UPS Operating On Battery"
148,13,CRITICAL,2014-03-13 16:50:09,"[10.1.1.1]User-PC/LiebertPSA","Low Battery"
152,12,IMPAIRED,2014-03-13 16:52:04,"[10.1.1.1]User-PC/LiebertPSA","Battery Capacity 20% or less"
153,1,NORMAL,2014-03-13 16:54:16,"[10.1.1.1]User-PC/","UPS Monitor Software Started"
169,4,CRITICAL,2014-03-14 12:10:16,"[10.1.1.1]User-PC/LiebertPSA","UPS Communication Loss"
171,2,NORMAL,2014-03-14 12:11:56,"[10.1.1.1]User-PC/LiebertPSA","UPS Communication Established"
173,4,CRITICAL,2014-03-14 12:35:09,"[10.1.1.1]User-PC/LiebertPSA","UPS Communication Loss"
174,2,NORMAL,2014-03-14 12:36:51,"[10.1.1.1]User-PC/LiebertPSA","UPS Communication Established"
176,3,IMPAIRED,2014-03-14 14:33:46,"[10.1.1.1]User-PC/","UPS Monitor Software Stopped"
177,1,NORMAL,2014-03-14 14:35:30,"[10.1.1.1]User-PC/","UPS Monitor Software Started"
179,4,CRITICAL,2014-03-14 15:17:48,"[10.1.1.1]User-PC/LiebertPSA","UPS Communication Loss"
181,2,NORMAL,2014-03-17 09:50:53,"[10.1.1.1]User-PC/LiebertPSA","UPS Communication Established"
183,4,CRITICAL,2014-03-17 11:07:31,"[10.1.1.1]User-PC/LiebertPSA","UPS Communication Loss"
